field,field_count,title,n
ICT / Computer/ Engineering,116,Access Transport Planning Engineer,1
ICT / Computer/ Engineering,116,Administrator,1
ICT / Computer/ Engineering,116,Business Intelligence ,1
ICT / Computer/ Engineering,116,Analyst Information Systems,1
ICT / Computer/ Engineering,116,Backend Developer,1
ICT / Computer/ Engineering,116,Big Data Engineer,1
ICT / Computer/ Engineering,116,Billing Technical Support,1
ICT / Computer/ Engineering,116,BSS-Engineer,1
ICT / Computer/ Engineering,116,Channels Support Analyst,1
ICT / Computer/ Engineering,116,Core Access Planning Engineer,1
ICT / Computer/ Engineering,116,Network Engineer,1
ICT / Computer/ Engineering,116,Core Network Support,1
ICT / Computer/ Engineering,116,Corporate Centres & Finance Delivery,1
ICT / Computer/ Engineering,116,Data Scientist,1
ICT / Computer/ Engineering,116,Database Administrator,3
ICT / Computer/ Engineering,116,Digital Channels Tech Lead,1
ICT / Computer/ Engineering,116,Digital NOC Engineer,1
ICT / Computer/ Engineering,116,End User Device Support Administrator,1
ICT / Computer/ Engineering,116,Problem Management,1
ICT / Computer/ Engineering,116,Radio Access Planning & Design,1
ICT / Computer/ Engineering,116,Solutions Integration and Testing,2
ICT / Computer/ Engineering,116,VAS Products,1
ICT / Computer/ Engineering,116,Customer Support,1
ICT / Computer/ Engineering,116,Enterprise Customer Support,1
ICT / Computer/ Engineering,116,Customer Support Engineer,1
ICT / Computer/ Engineering,116,Enterprise Segments Manager,1
ICT / Computer/ Engineering,116,Enterprise Systems Support Analyst,2
ICT / Computer/ Engineering,116,UX/UI,1
ICT / Computer/ Engineering,116, Interaction Designer,1
ICT / Computer/ Engineering,116,Software Developer ,1
ICT / Computer/ Engineering,116,Field Operations Engineer,1
ICT / Computer/ Engineering,116,Financial Systems Delivery Manager,1
ICT / Computer/ Engineering,116,Fixed Data Access Engineer,1
ICT / Computer/ Engineering,116,Functional Testing,1
ICT / Computer/ Engineering,116,Functional Testing Lead,1
ICT / Computer/ Engineering,116,Enterprise Risk,1
ICT / Computer/ Engineering,116,Digital IT,1
ICT / Computer/ Engineering,116,Head of Engineering,1
ICT / Computer/ Engineering,116,Head of Engineering,1
ICT / Computer/ Engineering,116,Risk and Compliance,1
ICT / Computer/ Engineering,116,Head of Product,1
ICT / Computer/ Engineering,116,Implementation Manager,1
ICT / Computer/ Engineering,116,Technical Support,1
ICT / Computer/ Engineering,116,Information Risk,1
ICT / Computer/ Engineering,116,Infrastructure Planning & Systems ,1
ICT / Computer/ Engineering,116,IP Planning and Optimisation,1
ICT / Computer/ Engineering,116,IT Solutions Architect,2
ICT / Computer/ Engineering,116,Data Scientist,1
ICT / Computer/ Engineering,116,Data Scientist,1
ICT / Computer/ Engineering,116,Automation Testing Lead,1
ICT / Computer/ Engineering,116,International Voice,1
ICT / Computer/ Engineering,116,Regional Account Manager,1
ICT / Computer/ Engineering,116,Channels Solutions,1
ICT / Computer/ Engineering,116,Analytics Systems Support,1
ICT / Computer/ Engineering,116,Cyber Risk,1
ICT / Computer/ Engineering,116,Data Engineering,1
ICT / Computer/ Engineering,116,Microservices & Apis ,1
ICT / Computer/ Engineering,116,Network Engineer,1
ICT / Computer/ Engineering,116,Non - Functional Testing Lead,2
ICT / Computer/ Engineering,116,"Corporate Security Business Partner, Commercial",1
ICT / Computer/ Engineering,116,Enterprise Architect,1
ICT / Computer/ Engineering,116,IP Planning & Design Engineer,1
ICT / Computer/ Engineering,116, IP Planning Engineer,1
ICT / Computer/ Engineering,116,Principal Officer,1
ICT / Computer/ Engineering,116,Category Sourcing,1
ICT / Computer/ Engineering,116,Security Architecture,1
ICT / Computer/ Engineering,116,Security Assurance ,1
ICT / Computer/ Engineering,116,Enterprise Insights,1
ICT / Computer/ Engineering,116,Product Owner,1
ICT / Computer/ Engineering,116,Products Analyst ,1
ICT / Computer/ Engineering,116,Program Manager,1
ICT / Computer/ Engineering,116,Quality Analyst,1
ICT / Computer/ Engineering,116,Quality Assurance,1
ICT / Computer/ Engineering,116,Quality Assurance - Test Automation Engineer,1
ICT / Computer/ Engineering,116,Quality Assurance,1
ICT / Computer/ Engineering,116,RAN Optimization Engineer,1
ICT / Computer/ Engineering,116,Field Engineer,1
ICT / Computer/ Engineering,116,Support Core Engineer,1
ICT / Computer/ Engineering,116,Reporting Analyst,1
ICT / Computer/ Engineering,116,Product Development Engineer,1
ICT / Computer/ Engineering,116,Cyber Security Operations Center Analyst,1
ICT / Computer/ Engineering,116,Digital Engineering,1
ICT / Computer/ Engineering,116,Managed Security Services,1
ICT / Computer/ Engineering,116,Digital Engineering,1
ICT / Computer/ Engineering,116,Wholesale Infrastructure & Products,2
ICT / Computer/ Engineering,116,Data Management,1
ICT / Computer/ Engineering,116,Technical Regulations,2
ICT / Computer/ Engineering,116,Capex & Assets Managemen,1
ICT / Computer/ Engineering,116,Data Scientist,1
ICT / Computer/ Engineering,116,CVM Campaign,1
ICT / Computer/ Engineering,116,Network Management System,1
ICT / Computer/ Engineering,116,Software Engineer,1
ICT / Computer/ Engineering,116,Software Engineer,1
ICT / Computer/ Engineering,116,Solution Architect,1
ICT / Computer/ Engineering,116,Software Engineer,2
ICT / Computer/ Engineering,116,Software Quality Assurance Lead,1
ICT / Computer/ Engineering,116,Solutions Integration,1
ICT / Computer/ Engineering,116,Support Analyst,1
ICT / Computer/ Engineering,116,Systems Administrator,1
